"Player","Team","Position","Over_Pass_Yards","Throw_TDs","Rec_Yards","Rec_TDs","Rush_Yards","Rush_TDs","xFP","xFP_per_game","Scheme_Balance","Position_Focus","Proj_Season_Pts","Percentile","Rookie"
"Aaron Rodgers","Pittsburgh Steelers","QB","3200.5","23.5","","","","","301.02","17.71","balanced","RB","379.5","","0"
"Jalen Hurts","Philadelphia Eagles","QB","3200.5","19.5","","","600.5","12.5","412.07","24.24","pass-heavy","WR","432.5","","0"
"Patrick Mahomes","Kansas City Chiefs","QB","4050.5","27.5","","","","","367.52","21.62","pass-heavy","WR","435.5","","0"
"Joe Burrow","Cincinnati Bengals","QB","4150.5","33.5","","","","","408.52","24.03","pass-heavy","WR","445.5","","0"
"Sam Darnold","Seattle Seahawks","QB","3400.5","20.5","","","","","293.02","17.24","pass-heavy","WR","389.5","","0"
"Brock Purdy","San Francisco 49ers","QB","3800.5","23.5","","","","","331.02","19.47","balanced","TE","415.5","","0"
"Michael Penix Jr.","Atlanta Falcons","QB","3500.5","19.5","","","","","292.02","17.18","run-heavy","WR","389.5","","0"
"Trevor Lawrence","Jacksonville Jaguars","QB","3700.5","22.5","","","","","320.02","18.82","balanced","WR","389.5","","0"
"Tua Tagovailoa","Miami Dolphins","QB","3450.5","23.5","","","","","313.52","18.44","balanced","WR","395.5","","0"
"Cameron Ward","Tennessee Titans","QB","3200.5","19.5","","","","","277.02","16.3","balanced","RB","359.5","","0"
"Baker Mayfield","Tampa Bay Buccaneers","QB","3800.5","29.5","","","","","367.02","21.59","balanced","WR","425.5","","0"
"Geno Smith","Las Vegas Raiders","QB","3575.5","20.5","","","","","301.77","17.75","balanced","RB","359.5","","0"
"Jared Goff","Detroit Lions","QB","3900.5","28.5","","","","","366.02","21.53","balanced","RB","431.5","","0"
"Bo Nix","Denver Broncos","QB","3550.5","24.5","","","","","324.52","19.09","pass-heavy","WR","403.5","","0"
"Justin Herbert","Los Angeles Chargers","QB","3650.5","22.5","","","","","317.52","18.68","run-heavy","RB","403.5","","0"
"Drake Maye","New England Patriots","QB","3300.5","19.5","","","500.5","","332.07","19.53","pass-heavy","WR","389.5","","0"
"Caleb Williams","Chicago Bears","QB","3600.5","23.5","","","425.5","","363.57","21.39","balanced","WR","399.5","","0"
"J.J. McCarthy","Minnesota Vikings","QB","3600.5","24.5","","","","","327.02","19.24","pass-heavy","WR","390.5","","0"
"Dak Prescott","Dallas Cowboys","QB","3900.5","26.5","","","","","354.02","20.82","pass-heavy","WR","399.5","","0"
"Jordan Love","Green Bay Packers","QB","3600.5","25.5","","","","","333.02","19.59","balanced","WR","410.5","","0"
"Bryce Young","Carolina Panthers","QB","3250.5","18.5","","","","","273.52","16.09","pass-heavy","WR","368.5","","0"
"Justin Fields","New York Jets","QB","2550.5","14.5","","","650.5","","279.57","16.45","pass-heavy","WR","335.5","","0"
"Kyler Murray","Arizona Cardinals","QB","3400.5","20.5","","","475.5","","340.57","20.03","balanced","TE","400.5","","0"
