Player,Team,Position,Over_Pass_Yards,Throw_TDs,Rec_Yards,Rec_TDs,Rush_Yards,Rush_TDs
Aaron Rodgers,Pittsburgh Steelers,QB,3200.5,23.5,,,,
Jalen Hurts,Philadelphia Eagles,QB,3200.5,19.5,,,600.5,12.5
Patrick Mahomes,Kansas City Chiefs,QB,4050.5,27.5,,,,
Joe Burrow,Cincinnati Bengals,QB,4150.5,33.5,,,,
Sam Darnold,Seattle Seahawks,QB,3400.5,20.5,,,,
Brock Purdy,San Francisco 49ers,QB,3800.5,23.5,,,,
Michael Penix Jr.,Atlanta Falcons,QB,3500.5,19.5,,,,
Trevor Lawrence,Jacksonville Jaguars,QB,3700.5,22.5,,,,
Tua Tagovailoa,Miami Dolphins,QB,3450.5,23.5,,,,
Cameron Ward,Tennessee Titans,QB,3200.5,19.5,,,,
Baker Mayfield,Tampa Bay Buccaneers,QB,3800.5,29.5,,,,
Geno Smith,Las Vegas Raiders,QB,3575.5,20.5,,,,
Jared Goff,Detroit Lions,QB,3900.5,28.5,,,,
Bo Nix,Denver Broncos,QB,3550.5,24.5,,,,
Justin Herbert,Los Angeles Chargers,QB,3650.5,22.5,,,,
Drake Maye,New England Patriots,QB,3300.5,19.5,,,500.5,
Caleb Williams,Chicago Bears,QB,3600.5,23.5,,,425.5,
J.J. McCarthy,Minnesota Vikings,QB,3600.5,24.5,,,,
Dak Prescott,Dallas Cowboys,QB,3900.5,26.5,,,,
Jordan Love,Green Bay Packers,QB,3600.5,25.5,,,,
Bryce Young,Carolina Panthers,QB,3250.5,18.5,,,,
Justin Fields,New York Jets,QB,2550.5,14.5,,,650.5,
Kyler Murray,Arizona Cardinals,QB,3400.5,20.5,,,475.5,
Jayden Daniels,Washington Commanders,QB,3450.5,23.5,,,675.5,5.5
Josh Allen,Buffalo Bills,QB,3450.5,27.5,,,500.5,10.5
Lamar Jackson,Baltimore Ravens,QB,3500.5,28.5,,,750.5,4.5
C.J. Stroud,Houston Texans,QB,3800.5,21.5,,,,
Ja'Marr Chase,Cincinnati Bengals,WR,,,1300.5,9.5,,
Brian Thomas Jr.,Jacksonville Jaguars,WR,,,1150.5,6.5,,
Zay Flowers,Baltimore Ravens,WR,,,900.5,4.5,,
Bijan Robinson,Atlanta Falcons,RB,,,375.5,,1200.5,10.5
Marvin Harrison Jr.,Arizona Cardinals,WR,,,975.5,6.5,,
CeeDee Lamb,Dallas Cowboys,WR,,,1200.5,7.5,,
George Pickens,Dallas Cowboys,WR,,,900.5,5.5,,
Justin Jefferson,Minnesota Vikings,WR,,,1250.5,9.5,,
Malik Nabers,New York Giants,WR,,,1150.5,7.5,,
Mike Evans,Tampa Bay Buccaneers,WR,,,950.5,7.5,,
Jahmyr Gibbs,Detroit Lions,RB,,,425.5,,1075.5,10.5
Devonta Smith,Philadelphia Eagles,WR,,,875.5,5.5,,
Amon-Ra St. Brown,Detroit Lions,WR,,,1100.5,8.5,,
Puka Nacua,Los Angeles Rams,WR,,,1200.5,5.5,,
