Player,Team,Position,Over_Pass_Yards,Throw_TDs,Rec_Yards,Rec_TDs,Rush_Yards,Rush_TDs,xFP,xFP_per_game
Aaron Rodgers,Pittsburgh Steelers,QB,3200.5,23.5,,,,,301.02,17.71
Jalen Hurts,Philadelphia Eagles,QB,3200.5,19.5,,,600.5,12.5,412.07,24.24
Patrick Mahomes,Kansas City Chiefs,QB,4050.5,27.5,,,,,367.52,21.62
Joe Burrow,Cincinnati Bengals,QB,4150.5,33.5,,,,,408.52,24.03
Sam Darnold,Seattle Seahawks,QB,3400.5,20.5,,,,,293.02,17.24
Brock Purdy,San Francisco 49ers,QB,3800.5,23.5,,,,,331.02,19.47
Michael Penix Jr.,Atlanta Falcons,QB,3500.5,19.5,,,,,292.02,17.18
Trevor Lawrence,Jacksonville Jaguars,QB,3700.5,22.5,,,,,320.02,18.82
Tua Tagovailoa,Miami Dolphins,QB,3450.5,23.5,,,,,313.52,18.44
Cameron Ward,Tennessee Titans,QB,3200.5,19.5,,,,,277.02,16.3
Baker Mayfield,Tampa Bay Buccaneers,QB,3800.5,29.5,,,,,367.02,21.59
Geno Smith,Las Vegas Raiders,QB,3575.5,20.5,,,,,301.77,17.75
Jared Goff,Detroit Lions,QB,3900.5,28.5,,,,,366.02,21.53
Bo Nix,Denver Broncos,QB,3550.5,24.5,,,,,324.52,19.09
Justin Herbert,Los Angeles Chargers,QB,3650.5,22.5,,,,,317.52,18.68
Drake Maye,New England Patriots,QB,3300.5,19.5,,,500.5,,332.07,19.53
Caleb Williams,Chicago Bears,QB,3600.5,23.5,,,425.5,,363.57,21.39
J.J. McCarthy,Minnesota Vikings,QB,3600.5,24.5,,,,,327.02,19.24
Dak Prescott,Dallas Cowboys,QB,3900.5,26.5,,,,,354.02,20.82
Jordan Love,Green Bay Packers,QB,3600.5,25.5,,,,,333.02,19.59
Bryce Young,Carolina Panthers,QB,3250.5,18.5,,,,,273.52,16.09
Justin Fields,New York Jets,QB,2550.5,14.5,,,650.5,,279.57,16.45
Kyler Murray,Arizona Cardinals,QB,3400.5,20.5,,,475.5,,340.57,20.03
Jayden Daniels,Washington Commanders,QB,3450.5,23.5,,,675.5,5.5,414.07,24.36
Josh Allen,Buffalo Bills,QB,3450.5,27.5,,,500.5,10.5,450.57,26.5
Lamar Jackson,Baltimore Ravens,QB,3500.5,28.5,,,750.5,4.5,448.07,26.36
C.J. Stroud,Houston Texans,QB,3800.5,21.5,,,,,319.02,18.77
